Category,Name,Price,Rating,Reviews,URL,Price_Segment,Name_Length,Price_Per_Char
Sports,"TENGOO HV-13 Electric Heated Vest - 13 Heating Areas Loose Fit for Unisex, USB Chargeable & Waterproof for Winter Outdoors",23.99,0.0,0,"https://www.banggood.com/TENGOO-HV-13-Electric-Heated-Vest-13-Heating-Areas-Loose-Fit-for-Unisex,USB-Chargeable-and-Waterproof-for-Winter-Outdoors-p-2021103.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287620",Mid-Range ($10-50),122,0.19663934426229507
Sports,GTMedia V8 Finder Pro 2 Celestial Planet Finder Digital Tracker Handheld Combo Meter Support DVB S2 T2 Cable Signal Finder,88.99,0.0,0,https://www.banggood.com/GTMedia-V8-Finder-Pro-2-Celestial-Planet-Finder-Digital-Tracker-Handheld-Combo-Meter-Support-DVB-S2-T2-Cable-Signal-Finder-p-2029610.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6296615,Premium ($50-200),122,0.7294262295081967
Sports,SEEKNITE USB Rechargeable LED Camping Lantern with Magnetic Base and Multi-Source COB Work/Repair Light for Outdoor Use,22.99,0.0,0,https://www.banggood.com/SEEKNITE-USB-Rechargeable-LED-Camping-Lantern-with-Magnetic-Base-and-Multi-Source-COB-Work-or-Repair-Light-for-Outdoor-Use-p-2033044.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287830,Mid-Range ($10-50),119,0.19319327731092437
Sports,5V 15W USB Solar Chargers with 5 Folding Solar Panel Portable Solar Cell Waterproof Solar Battery Chargers Power Bank,27.89,0.0,0,https://www.banggood.com/5V-15W-USB-Solar-Chargers-with-5-Folding-Solar-Panel-Portable-Solar-Cell-Waterproof-Solar-Battery-Chargers-Power-Bank-p-1985263.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Mid-Range ($10-50),117,0.23837606837606837
Sports,ROCKBROS Magnetic Bicycle Taillight Smart Brake Light 7 Lighting Modes IPX6 Waterproof USB Rechargeable LED Bicycle Rear Light for Night Riding,12.99,0.0,0,https://www.banggood.com/ROCKBROS-Magnetic-Bicycle-Taillight-Smart-Brake-Light-7-Lighting-Modes-IPX6-Waterproof-USB-Rechargeable-LED-Bicycle-Rear-Light-for-Night-Riding-p-2029377.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287830,Mid-Range ($10-50),143,0.09083916083916084
Sports,Xiaolang Smart Electric Water Dispenser Portable Automatic Water Pump for Household use Small Water fold Drinkware Kitchen,10.99,0.0,0,https://www.banggood.com/Xiaolang-Smart-Electric-Water-Dispenser-Portable-Automatic-Water-Pump-for-Household-use-Small-Water-fold-Drinkware-Kitchen-p-2027516.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6330588,Mid-Range ($10-50),122,0.09008196721311476
Sports,TENGOO Men Sneakers Ultralight Soft Breathable Bouncy Shock Absorption Running Sports Shoes,23.99,0.0,0,https://www.banggood.com/TENGOO-Men-Sneakers-Ultralight-Soft-Breathable-Bouncy-Shock-Absorption-Running-Sports-Shoes-p-2010473.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=5655066320015,Mid-Range ($10-50),91,0.2636263736263736
Sports,ANGWATT Brake Pad For ANGWATT T1 3.0 ANGWATT T1 2.0 ANGWATT C1 2.0 ANGWATT C1 MAX ANGWATT CS1 PRO ANGWATT X1 X1 2.0,4.38,0.0,0,https://www.banggood.com/ANGWATT-Brake-Pad-For-ANGWATT-T1-3_0-ANGWATT-T1-2_0-ANGWATT-C1-2_0-ANGWATT-C1-MAX-ANGWATT-CS1-PRO-ANGWATT-X1-X1-2_0-p-2021148.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Budget (<$10),115,0.03808695652173913
Sports,TENGOO 1Pair Electric Heated Insoles Croppable Thermal Comfortable USB Rechargeable Insoles for Winter Outdoor Skiing,7.49,0.0,0,https://www.banggood.com/TENGOO-1Pair-Electric-Heated-Insoles-Croppable-Thermal-Comfortable-USB-Rechargeable-Insoles-for-Winter-Outdoor-Skiing-p-1999094.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Budget (<$10),117,0.06401709401709402
Sports,"IPRee USB Lens Heater Warmer Strip with 3 Heat Settings Temperature Regulator for Camera Lens Dew Removing, Lens Heater for Outdoor Telescope Eyepieces Protection",6.99,0.0,0,"https://www.banggood.com/IPRee-USB-Lens-Heater-Warmer-Strip-with-3-Heat-Settings-Temperature-Regulator-for-Camera-Lens-Dew-Removing,Lens-Heater-for-Outdoor-Telescope-Eyepieces-Protection-p-2025988.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6286072",Budget (<$10),162,0.04314814814814815
